8213034705,95,2.927373,jake7870,0,95,117.5,xbox,3
8213034705,115,2.943484,davidbresler2,1,95,117.5,xbox,3
8213034705,100,2.951285,gladimacowgirl,58,95,117.5,xbox,3
8213034705,117.5,2.998947,daysrus,10,95,117.5,xbox,3
8213060420,2,0.065266,donnie4814,5,1,120,xbox,3
8213060420,15.25,0.123218,myreeceyboy,52,1,120,xbox,3
8213060420,3,0.186539,parakeet2004,5,1,120,xbox,3
8213060420,10,0.18669,parakeet2004,5,1,120,xbox,3
8213060420,24.99,0.187049,parakeet2004,5,1,120,xbox,3
8213060420,20,0.249491,bluebubbles_1,25,1,120,xbox,3
3406945791,200,0.93351,sirvinsky,52,9.99,232.5,palm,7
3406945791,200,1.10953,jaguarhw,1,9.99,232.5,palm,7
3406945791,215,3.68168,lilbitreading,2,9.99,232.5,palm,7
3406945791,205,4.04531,jaguarhw,1,9.99,232.5,palm,7
3406945791,225,4.04568,jaguarhw,1,9.99,232.5,palm,7
3406945791,220,6.60786,robb1069,3,9.99,232.5,palm,7
3406945791,225,6.60799,robb1069,3,9.99,232.5,palm,7
3406945791,230,6.60815,robb1069,3,9.99,232.5,palm,7
3406945791,230,6.67638,jaguarhw,1,9.99,232.5,palm,7
3406945791,232.5,6.67674,jaguarhw,1,9.99,232.5,palm,7
